PtID C2O1O1_Q00 C2O1O1_Q10 C2O1O1_Q20 O1C2O1_Q00 O1C2O1_Q10 O1C2O1_Q20 aiESP
Pt:-2.834592_1.889719_-1.133841_co2 0.136477081314 0.0182135670758 0.00237503040229 0.299354484102 -0.0253402983663 0.00749294495121 -0.00807789
Pt:-2.834592_1.889719_-0.377951_co2 0.13721040704 0.0185087457264 0.00245344556898 0.301829997399 -0.0264466027008 0.00795855020538 -0.00858514
Pt:-2.834592_1.889719_0.377939_co2 0.13721166748 0.0185092558051 0.00245358199069 0.301834281645 -0.0264485448916 0.00795937647131 -0.00858603
Pt:-2.834592_1.889719_1.133829_co2 0.136480802428 0.018215056922 0.00237542351786 0.299366960597 -0.0253457947544 0.00749523318835 -0.00808038
Pt:-2.834592_1.889719_1.889719_co2 0.135052236842 0.0176490436081 0.00222803125141 0.294638679023 -0.0233195496973 0.00666875891934 -0.00716756
Pt:-2.834592_2.645609_-1.133841_co2 0.134387771958 0.0173898202238 0.00216184585811 0.292480093367 -0.0224318248185 0.00631756462736 -0.00677535
Pt:-2.834592_2.645609_-0.377951_co2 0.135087759768 0.0176629740089 0.00223161150295 0.294754790035 -0.0233679573022 0.00668810162514 -0.0071891
Pt:-2.834592_2.645609_0.377939_co2 0.13508896261 0.0176634458346 0.00223173280877 0.294758722948 -0.0233695981443 0.00668875761969 -0.00718982
Pt:-2.834592_2.645609_1.133829_co2 0.134391324773 0.0173911994663 0.00216219580729 0.292491568669 -0.0224364831061 0.00631939000823 -0.00677738
Pt:-2.078702_-4.157401_-0.377951_co2 0.141469398591 0.018146164382 0.00207573523665 0.304838524924 -0.0198731902312 0.00476027585862 -0.00475505
Pt:-2.078702_-4.157401_0.377939_co2 0.141470780084 0.0181466959962 0.00207586423924 0.304842819309 -0.0198747405158 0.00476079848923 -0.00475559
Pt:-2.078702_-3.401511_-1.889731_co2 0.143159118302 0.0188041784431 0.00223794858198 0.310160467834 -0.021856051525 0.00544476608382 -0.00545115
Pt:-2.078702_-3.401511_-1.133841_co2 0.144867020874 0.019485246593 0.00241115355204 0.31568815111 -0.0240490020293 0.00623859844384 -0.00624397
Pt:-2.078702_-3.401511_-0.377951_co2 0.145744973337 0.019841663235 0.0025039263078 0.318591546604 -0.0252567690707 0.00669202021615 -0.00668977
Pt:-2.078702_-3.401511_0.377939_co2 0.145746483912 0.0198422801887 0.00250408815853 0.318596579718 -0.0252588967484 0.0066928290477 -0.00669056
Pt:-2.078702_-3.401511_1.133829_co2 0.144871471332 0.0194870424662 0.00241161734926 0.315702760137 -0.0240549817182 0.00624081517132 -0.00624615
Pt:-2.078702_-3.401511_1.889719_co2 0.143166276677 0.0188069993762 0.00223865489111 0.310183316883 -0.0218648334551 0.00544786848936 -0.00545426
Pt:-2.078702_-2.645621_-2.645621_co2 0.144050730841 0.0191577153865 0.00232718789547 0.313026864044 -0.0229759680915 0.00584538731753 -0.00585321
Pt:-2.078702_-2.645621_-1.889731_co2 0.146684560092 0.0202278873847 0.00260609749493 0.321747836965 -0.0266143962628 0.0072152511538 -0.00719782
Pt:-2.078702_-2.645621_-1.133841_co2 0.148523419386 0.0209982033215 0.00281492662106 0.328080276852 -0.0294817159548 0.00836669500604 -0.00829137
Pt:-2.078702_-2.645621_-0.377951_co2 0.149469982343 0.0214022419082 0.00292712712605 0.331424842139 -0.0310752287781 0.00903338301676 -0.00890908
Pt:-2.078702_-2.645621_0.377939_co2 0.149471611729 0.0214029418391 0.00292732307785 0.331430651342 -0.0310780449402 0.00903457796259 -0.00891017
Pt:-2.078702_-2.645621_1.133829_co2 0.148528215417 0.021000237572 0.00281548694876 0.328097073371 -0.0294895804995 0.00836993874215 -0.00829439
Pt:-2.078702_-2.645621_1.889719_co2 0.146692260474 0.0202310732135 0.00260694733244 0.321773919815 -0.0266258113841 0.00721971087443 -0.0072021
Pt:-2.078702_-2.645621_2.645609_co2 0.144060941305 0.0191617894308 0.00232822470566 0.313059930822 -0.0229891030989 0.0058501454403 -0.00585794
Pt:-2.078702_-1.889731_-3.401511_co2 0.143249520147 0.0188398242225 0.00224688043092 0.310449217054 -0.0219672018594 0.00548407808248 -0.00549078
Pt:-2.078702_-1.889731_-2.645621_co2 0.14673316141 0.0202480004985 0.00261146471358 0.321912519697 -0.0266865236465 0.00724344709677 -0.00722499
Pt:-2.078702_-1.889731_-1.889731_co2 0.149519775234 0.0214236382021 0.00293311967484 0.331602449282 -0.0311614047597 0.00906997557947 -0.00894265
Pt:-2.078702_-1.889731_-1.133841_co2 0.151468773365 0.02227238084 0.00317492920294 0.338691852488 -0.0347316583578 0.0106339294732 -0.0103446
Pt:-2.078702_-1.889731_-0.377951_co2 0.152473159485 0.0227183882845 0.00330518172998 0.342455207886 -0.0367322329165 0.0115506486731 -0.0111358
Pt:-2.078702_-1.889731_0.377939_co2 0.152474889072 0.0227191614149 0.00330540940787 0.342461756188 -0.0367357787603 0.0115522988825 -0.0111372
Pt:-2.078702_-1.889731_1.133829_co2 0.15147386043 0.0222746249632 0.0031755791125 0.338710718867 -0.0347415032612 0.0106383702998 -0.0103485
Pt:-2.078702_-1.889731_1.889719_co2 0.149527930841 0.0214271440722 0.00293410206505 0.331631555824 -0.0311755424683 0.00907598407182 -0.00894814
Pt:-2.078702_-1.889731_2.645609_co2 0.146743953005 0.0202524682878 0.00261265757452 0.321949105623 -0.0267025649696 0.00724972338481 -0.00723101
Pt:-2.078702_-1.889731_3.401499_co2 0.143262430425 0.0188449184655 0.00224815811523 0.310490487494 -0.0219831187177 0.00548971573634 -0.00549643
Pt:-2.078702_-1.133841_-3.401511_co2 0.145007606431 0.0195420297754 0.00242583617375 0.316150164889 -0.0242385860965 0.00630901597606 -0.00631354
Pt:-2.078702_-1.133841_-2.645621_co2 0.148624376396 0.0210410522638 0.0028267390333 0.328434162974 -0.0296477074351 0.00843525675146 -0.00835542
Pt:-2.078702_-1.133841_-1.889731_co2 0.151522288727 0.0222959963155 0.00318177114203 0.338890422286 -0.0348353691431 0.0106807463176 -0.0103856
