PtID C4HHHC4_Q00 C4HHHC4_Q10 C4HHHC4_Q20 C4HHO2C4_Q00 C4HHO2C4_Q10 C4HHO2C4_Q11s C4HHO2C4_Q20 C4HHO2C4_Q21s C4HHO2C4_Q22c HC4HHC4_Q00 HC4HHC4_Q10 HC4HHC4_Q11s HC4HHC4_Q20 HC4HHC4_Q21s HC4HHC4_Q22c HC4O2C4H_Q00 HC4O2C4H_Q10 HC4O2C4H_Q11c HC4O2C4H_Q11s HC4O2C4H_Q20 HC4O2C4H_Q21c HC4O2C4H_Q21s HC4O2C4H_Q22c HC4O2C4H_Q22s HO2C4_Q00 HO2C4_Q10 HO2C4_Q11c HO2C4_Q20 HO2C4_Q21c HO2C4_Q22c O2C4H_Q00 O2C4H_Q11c O2C4H_Q11s O2C4H_Q20 O2C4H_Q22c O2C4H_Q22s aiESP
Pt:-5.291235_-0.755898_-2.078704_ethanol 0.1345602753 -0.0172834105053 0.0021117103939 0.098054826058 0.00587233095383 -0.00732043636558 5.61390819354e-05 -0.000759345016692 -0.000434699962267 0.430586354327 0.00653894653142 -0.0585842045246 -0.00361438428623 -0.00168341125202 -0.00655779568588 0.18006999805 -0.00824018698245 -0.0113693166908 -0.00746314672288 -0.000127985226564 0.000885965694337 0.000542807296154 0.000329540621204 0.000832883471664 0.0888486967874 -0.000557421088793 0.00438914741294 -0.000345444102587 -4.76950301625e-05 -0.000228832153973 0.088689530339 -0.00199296399403 -0.00395163745783 0.000366337596605 -0.00011369544331 0.000153803004136 0.00176399
Pt:-5.291235_-0.755898_-1.322814_ethanol 0.137961942774 -0.0186265906904 0.00245928549446 0.0993528219283 0.00616187484453 -0.00757659264328 8.28853909164e-05 -0.000813892846526 -0.000482396914047 0.441610749352 0.00561675870692 -0.0633431989366 -0.00432523224801 -0.00148438327931 -0.00769701591438 0.181827242087 -0.0086583791991 -0.0116264438775 -0.00764442116035 -0.000116415609059 0.00095183253923 0.000607910498683 0.000354129607762 0.000854546526528 0.0908090072984 -0.000109129697849 0.00479223175771 -0.000374221340076 -9.97498990584e-06 -0.000210364027687 0.0897640360713 -0.00174813965726 -0.00445707502765 0.000340251694297 -0.000162174928636 0.000150343385492 0.00192843
Pt:-5.291235_-0.755898_-0.566924_ethanol 0.140039325243 -0.0194796933951 0.00269132812239 0.100125272782 0.00636120829606 -0.00771536638137 0.000104333695506 -0.000849010548329 -0.000510460097299 0.448266838371 0.00492327435362 -0.0663134129979 -0.00480035466084 -0.00129604697266 -0.00843589376969 0.182813840976 -0.0089288255238 -0.01174393084 -0.00777208173161 -0.00010544375192 0.000991686679325 0.000651773657657 0.000364305648837 0.00086679403449 0.0924502560123 0.000397683861321 0.00516876115785 -0.000392522458463 3.85103034346e-05 -0.00018230720682 0.0904527323168 -0.00146316501425 -0.00492886732351 0.000301685578002 -0.000212099263606 0.000138095451156 0.00211945
Pt:-5.291235_-0.755898_0.188966_ethanol 0.140598029798 -0.0197127136539 0.00275610933712 0.100333885962 0.00645588428408 -0.00772412217367 0.000118071167597 -0.000860830936672 -0.000514954176643 0.450057060287 0.00472739793914 -0.0671117133674 -0.00493319923151 -0.00123783998808 -0.00863494307592 0.182995618585 -0.00903243738742 -0.0117145580943 -0.0078444458992 -9.72598290964e-05 0.00100149912831 0.0006706350442 0.000358227934915 0.000869777955787 0.093710075933 0.000948254724865 0.00549956353223 -0.000397068064343 9.63890225809e-05 -0.000145337380737 0.09072777807 -0.00114805366324 -0.00534575303282 0.000252573443985 -0.000260196257316 0.000117163255893 0.00234686
Pt:-5.291235_-0.755898_0.944856_ethanol 0.139583161266 -0.019287876534 0.00263807384016 0.0999680502058 0.00643975778461 -0.00760080027581 0.000122735108194 -0.000848063280163 -0.000495027141619 0.446858213909 0.00513098061475 -0.0656386354205 -0.00468327747186 -0.00135634215279 -0.0082631165656 0.182366592449 -0.00896331801317 -0.0115390907267 -0.00785978241669 -9.29627950941e-05 0.000980459843959 0.000663100054952 0.000335882530849 0.00086349162835 0.0945363731164 0.00152190424067 0.00576604629315 -0.00038569091641 0.000160778192808 -0.000101331297146 0.0905777375221 -0.000815494970426 -0.00568922009999 0.000196103239971 -0.0003031087495 8.87182938809e-05 0.00260943
Pt:-5.291235_-0.755898_1.700746_ethanol 0.137093603237 -0.0182731541812 0.00236511908617 0.0990462977058 0.00631601034092 -0.00735441783038 0.000118311046769 -0.000812294501163 -0.000453161056989 0.438928364456 0.00601151119188 -0.0620916163242 -0.00409079636454 -0.00158968202966 -0.00740185695239 0.180949406602 -0.00872956579274 -0.011226186428 -0.00781625492227 -9.22938360769e-05 0.000931115143344 0.000630334454394 0.000299148422842 0.000847716622045 0.0948928972854 0.00209375892372 0.00595260602756 -0.000357942794345 0.000227489175003 -5.32346460223e-05 0.0900088716845 -0.000479474063753 -0.00594571812206 0.000136249731618 -0.000337925103044 5.48586032211e-05 0.00289258
Pt:-5.291235_-0.755898_2.456636_ethanol 0.133356595624 -0.0168182987194 0.001995759983 0.0976137658726 0.00609639684706 -0.00700346614535 0.000106065244222 -0.000757592772656 -0.000394552223632 0.426866215371 0.0070807535171 -0.0569209286189 -0.00326960791243 -0.00180813246783 -0.00621718365102 0.178793401449 -0.008351752886 -0.0107915160243 -0.00771251534518 -9.38435019998e-05 0.00085882203331 0.000575846728529 0.000251474871195 0.000822221947018 0.0947634829524 0.00263750940109 0.00604886723557 -0.000315380695938 0.000291600108757 -4.64679595459e-06 0.0890444274821 -0.000153674168884 -0.00610810737049 7.71382098087e-05 -0.000362628743595 1.82583453386e-05 0.00317039
Pt:-5.291235_-0.000008_-2.834594_ethanol 0.130532782598 -0.0157532461255 0.00173969069729 0.0964528584616 0.00499608394852 -0.00740272659357 -6.04756992796e-05 -0.000664151199662 -0.000431095516206 0.41701219793 0.00688305239001 -0.0530275295373 -0.00307765559415 -0.00164599554084 -0.00519308077327 0.178866492464 -0.00737919583209 -0.0118629921956 -0.0066639734211 -0.00019651970682 0.000821129176971 0.000396347598485 0.000428859008502 0.000793582323203 0.0852143773086 -0.00106868313772 0.00418896472416 -0.000289287964569 -9.09920422547e-05 -0.000167609675729 0.0861486126207 -0.00250078042484 -0.00353339154375 0.000313084127285 -6.26378473512e-05 0.000177655912697 0.00171737
Pt:-5.291235_-0.000008_-2.078704_ethanol 0.135015752716 -0.0174317577884 0.00214527877169 0.0982245085456 0.00532792239423 -0.00778105939845 -4.03396082731e-05 -0.000731033676015 -0.000497193030339 0.431787631956 0.00610638032873 -0.059083107031 -0.00383837160125 -0.00155662590925 -0.00658892213363 0.181390871631 -0.00791043360437 -0.0122870779064 -0.00687838155212 -0.000192471937822 0.000912137247085 0.000472358579558 0.000472495366896 0.000824131402674 0.0873171403262 -0.000717693906924 0.00460111447603 -0.000324016781474 -6.55033364012e-05 -0.000151490951979 0.0875128188283 -0.00232667408618 -0.00403756995821 0.000298007162936 -0.00010775299794 0.000185927901515 0.0018692
Pt:-5.291235_-0.000008_-1.322814_ethanol 0.138452971833 -0.0187962532915 0.00250062603002 0.0995293447187 0.00559661091596 -0.00805666711097 -2.09207997015e-05 -0.000784675363833 -0.000548273437405 0.442986390864 0.00527480943405 -0.0639376468116 -0.00449437268625 -0.00138068217237 -0.00779846751177 0.183190722787 -0.00832453299851 -0.0125748713426 -0.00704841992114 -0.000185051671743 0.000982503180946 0.000533570690195 0.000502515294713 0.000845871450799 0.089175696438 -0.00030425300494 0.00500170320804 -0.000353019068164 -2.95574464708e-05 -0.000127341520683 0.0885446244042 -0.00210459329534 -0.0045276616455 0.000271890143787 -0.000157179284876 0.000186397710715 0.00203094
Pt:-5.291235_-0.000008_-0.566924_ethanol 0.140552954507 -0.0196635064121 0.00273809673829 0.10030595249 0.00578342969965 -0.00820719911714 -4.41280175553e-06 -0.000819623406027 -0.000577904742555 0.449764662816 0.00465660965896 -0.0669793305197 -0.00492625736023 -0.00121698563918 -0.00859300655778 0.18420418758 -0.00859171627382 -0.0127100729944 -0.00717267897936 -0.00017656555558 0.00102515404254 0.000574620883371 0.00051528220725 0.000859028052261 0.0907284593121 0.000164290557557 0.00537337977671 -0.000372976367517 1.68530004071e-05 -9.53255464827e-05 0.0892054274111 -0.00183982583256 -0.00498317253876 0.000235390140187 -0.00020821255169 0.000178013109288 0.00221383
Pt:-5.291235_-0.000008_0.188966_ethanol 0.141117854081 -0.0199004776621 0.00280442802863 0.100515699428 0.00587491687789 -0.00821900671791 7.28809319081e-06 -0.000832046867876 -0.000581912480616 0.451591892851 0.00448713851755 -0.0677996066307 -0.00504436094074 -0.00116836201891 -0.00881014803912 0.184395590209 -0.00869263981957 -0.0126843547202 -0.00724978860404 -0.000168994183796 0.00103566580881 0.000591881009715 0.000508760389104 0.000863808608615 0.0919182917651 0.000674875711977 0.00569761131719 -0.000380875019176 7.24561577504e-05 -5.65690099132e-05 0.0894692180642 -0.00154117835857 -0.00538403862597 0.000190358478071 -0.000257599472015 0.000160637913493 0.00242458
Pt:-5.291235_-0.000008_0.944856_ethanol 0.140091769353 -0.019468480326 0.00268358709028 0.100147878579 0.00586518524039 -0.0080897576488 1.30225724936e-05 -0.000820608701064 -0.000559455854957 0.44833426778 0.00485699165188 -0.0662903962603 -0.00481359765094 -0.00127538735106 -0.00841099970384 0.18375836482 -0.00862144839921 -0.0124982148747 -0.0072777187479 -0.000163372485202 0.00101314605931 0.000584016182744 0.000482960105415 0.000860090028818 0.0926977002022 0.00120915638062 0.00595664726965 -0.000374610845953 0.00013457860533 -1.31911245037e-05 0.0893253254815 -0.00122025428295 -0.00571291343349 0.00013965871484 -0.000301989053685 0.000135174261015 0.00266188
Pt:-5.291235_-0.000008_1.700746_ethanol 0.137575386529 -0.0184371163651 0.00240432158753 0.0992211888293 0.00575689956471 -0.0078289922371 1.26218919714e-05 -0.000786775298322 -0.000513282550207 0.44026748362 0.00566142247938 -0.0626634998176 -0.00426579079949 -0.0014855334844 -0.00748973775025 0.182315562385 -0.00838659445322 -0.0121609233015 -0.00725375839186 -0.000159531832565 0.000960391178064 0.000552177884661 0.000440001079281 0.000847377859809 0.093033750514 0.00174496443487 0.00613576417537 -0.000353523033174 0.000199331225716 3.18940577713e-05 0.0887795909796 -0.00089023608826 -0.00595718930004 8.67551071615e-05 -0.000338447799395 0.000103465148156 0.00291456
Pt:-5.291235_-0.000008_2.456636_ethanol 0.133799918795 -0.016959572486 0.00202684994773 0.0977811649965 0.0055606178496 -0.00745641658097 6.88120350304e-06 -0.000734443908382 -0.000449047677187 0.428026000399 0.00664737982915 -0.0573959838285 -0.00349681528834 -0.0016857483754 -0.0062362000869 0.180117890881 -0.00800922810071 -0.0116895844429 -0.00717525041813 -0.00015630138183 0.000883275477032 0.000499795237069 0.000383763105829 0.000825069886971 0.092911784929 0.00225866779321 0.00622531516235 -0.000318673451297 0.000262122032042 7.53961623906e-05 0.0878537224838 -0.000564413653029 -0.00611030802946 3.51738367016e-05 -0.000364901139336 6.7992510088e-05 0.00316217
Pt:-5.291235_0.755882_-2.078704_ethanol 0.134077148525 -0.0170435501828 0.00204466878794 0.0978552514703 0.00469957253161 -0.00811144032325 -0.00012996303828 -0.000674734356159 -0.000548560991128 0.428514666526 0.00609665304654 -0.0576963349213 -0.00374812331418 -0.00152487253552 -0.00620729446255 0.181873668355 -0.0074589573047 -0.0130556987881 -0.00617563216812 -0.000257912126575 0.000911179293187 0.000394112516249 0.000609947808382 0.000784699391443 0.0855027408904 -0.000850967584085 0.00472870163691 -0.000299839337814 -8.15146221838e-05 -8.10414139344e-05 0.0860157893847 -0.00260050738411 -0.0040628676305 0.000230616970223 -9.81072451458e-05 0.000212751784961 0.00199361
