"Formula","Name","DHVap 25C"
"C6H9N","Cyclopentanecarbonitrile",
"C6H9NO3","Triacetamide",
"C6H10","Cyclohexene",
"C6H10O","Cyclohexanone",
"C6H10O","Mesityl oxide",
"C6H10O2","Methyl cyclobutanecarboxylate",
"C6H10O3","Propanoic anhydride",
"C6H10O4","Diethyl oxalate",
"C6H10O4","Ethylene glycol diacetate",
"C6H11N","Hexanenitrile",
"C6H12","1-Hexene",
"C6H12","cis-2-Hexene",
"C6H12","trans-2-Hexene",
"C6H12","cis-3-Hexene",
"C6H12","trans-3-Hexene",
"C6H12","2-Methyl-1-pentene",
"C6H12","3-Methyl-1-pentene",
"C6H12","4-Methyl-1-pentene",
"C6H12","2-Methyl-2-pentene",
"C6H12","3-Methyl-cis-2-pentene",
"C6H12","3-Methyl-trans-2-pentene",
"C6H12","4-Methyl-cis-2-pentene",
"C6H12","4-Methyl-trans-2-pentene",
"C6H12","2-Ethyl-1-butene",
"C6H12","2,3-Dimethyl-1-butene",
"C6H12","3,3-Dimethyl-1-butene",
"C6H12","2,3-Dimethyl-2-butene",
"C6H12","Cyclohexane",
"C6H12","Methylcyclopentane",
"C6H12","Ethylcyclobutane",
"C6H12Cl2","1,2-Dichlorohexane",
"C6H12O","Butyl vinyl ether",
"C6H12O","2-Hexanone",
"C6H12O","3-Hexanone",
"C6H12O","3-Methyl-2-pentanone",
"C6H12O","4-Methyl-2-pentanone",
"C6H12O","2-Methyl-3-pentanone",
"C6H12O","3,3-Dimethyl-2-butanone",
"C6H12O","Cyclohexanol",
"C6H12O2","Butyl acetate",
"C6H12O2","tert-Butyl acetate",
"C6H12O2","Isobutyl acetate",
"C6H12O2","Propyl propanoate",
"C6H12O2","Ethyl butanoate",
"C6H12O2","Ethyl 2-methylpropanoate",
"C6H12O2","Methyl pentanoate",
"C6H12O2","Methyl 2,2-dimethylpropanoate",
"C6H12O3","Ethylene glycol monoethyl ether acetate",
"C6H12S","Cyclohexanethiol",
"C6H13Br","1-Bromohexane",
"C6H13Cl","1-Chlorohexane",
"C6H13I","1-Iodohexane",
"C6H13N","Cyclohexylamine",
"C6H14","Hexane",
"C6H14","2-Methylpentane",
"C6H14","3-Methylpentane",
"C6H14","2,2-Dimethylbutane",
"C6H14","2,3-Dimethylbutane",
"C6H14N2","Azopropane",
"C6H14O","1-Hexanol",
"C6H14O","2-Hexanol",
"C6H14O","2-Methyl-1-pentanol",
"C6H14O","4-Methyl-1-pentanol",
"C6H14O","2-Methyl-2-pentanol",
"C6H14O","4-Methyl-2-pentanol",
"C6H14O","2-Ethyl-1-butanol",
"C6H14O","Dipropyl ether",
"C6H14O","Diisopropyl ether",
"C6H14O","Butyl ethyl ether",
"C6H14O","Methyl pentyl ether",
"C6H14O2","2-Methyl-2,4-pentanediol",
"C6H14O2","Ethylene glycol monobutyl ether",
"C6H14O2","1,1-Diethoxyethane",
"C6H14O2","Ethylene glycol diethyl ether",
"C6H14O3","Bis(ethoxymethyl) ether",
"C6H14O3","Diethylene glycol monoethyl ether",
"C6H14O3","Diethylene glycol dimethyl ether",
"C6H14O4","Triethylene glycol",
"C6H14S","Dipropyl sulfide",
"C6H14S","Diisopropyl sulfide",
"C6H14S","Isopropyl propyl sulfide",
"C6H14S","Butyl ethyl sulfide",
"C6H14S","Methyl pentyl sulfide",
"C6H15N","Hexylamine",
"C6H15N","Butylethylamine",
"C6H15N","Dipropylamine",
